text,sentiment,language
شو هالحكي! المادة تمام. بحس التوصيل جميل وخلصت من وجعة الراس. بالنهاية، هيك كانت تجربتي.,positive,ar_shami
تحديث سريع: المقرر الجامعي عادي. @المتجر,neutral,ar_fusha
لا أملك رأيًا حاسمًا حول التطبيق حتى الآن. !!,neutral,ar_fusha
الفيلم مو منيح أبدًا وبيضيع الوقت.,negative,ar_shami
No strong opinion on the university course yet.,neutral,en
بشكل عام المقال عادي ولا يختلف كثيرًا. تحديث سريع: التوصيل متوسط. التطبيق يعمل بشكل مقبول وفقًا للوصف. بشكل عام، هذا ملخص تجربتي. 🤷 ...,neutral,ar_fusha
"the app works as described, nothing more and nothing less. https://t.co/xyz",neutral,en
"Terrible experience with the online store. Not worth it. This is so bad.. the laptop 😤 I regret trying the movie; it was disappointing. I expected better, but the movie failed in basic ways. Overall, that was my experience. #waste 😠",negative,en
I hate how the update keeps breaking. #neveragain 😤,negative,en
لسا ما قررت شو رأيي بـ الاشتراك. !!!,neutral,ar_shami
يعني بصراحة الاشتراك تمام.,positive,ar_shami
صراحة ندمت على المنتج. #سيئ @الشركة,negative,ar_shami
"the app is awesome, smooth, and surprisingly reliable. @company 😍",positive,en
I genuinely loved the subscription; it exceeded my expectations. #worthit ...,positive,en
"tbh the online store is mixed. I tried the phone today; the results were average. Overall, that was my experience. #fyi 🤷",neutral,en
tbh the movie is perfect.,positive,en
بس للتوضيح: استخدمت الابليكيشن هالأسبوع. لسا ما قررت شو رأيي بـ الفيلم. بالنهاية، هيك كانت تجربتي. #رأي,neutral,ar_shami
تجربتي مع التطبيق كانت متوازنة بلا انطباع قوي.,neutral,ar_fusha
يعني بصراحة المقال تمام.,positive,ar_shami
"So happy with the movie 😊 Very impressed by the customer support; the quality is top-notch. Overall, that was my experience.",positive,en
"the subscription is awesome, smooth, and surprisingly reliable.",positive,en
"No strong opinion on the restaurant yet. I have mixed feelings about the product; it depends on what you need. No strong opinion on the update yet. Overall, that was my experience.",neutral,en
"Overall, the news is okay. It meets the minimum requirements. 🤷",neutral,en
أداء الهاتف قوي وثابت بشكل ملحوظ. أشعر بالرضا عن الخدمة، وأنصح به. بشكل عام، هذا ملخص تجربتي. 😊,positive,ar_fusha
شو هالحكي! المتجر أونلاين سيّئ. 🙄,negative,ar_shami
"I love the news. It just works. ngl, the update is solid right now. Overall, that was my experience. @company 😁",positive,en
"IMO the article is perfect.. tbh the article is amazing. the app is awesome, smooth, and surprisingly reliable. Overall, that was my experience.",positive,en
"Just tried the update. terrible experience. I regret trying the delivery; it was disappointing. IMO the customer support is overhyped.. Terrible experience with the delivery. Not worth it. Overall, that was my experience. @company 😡",negative,en
"I tried the online store today; the results were average. ngl, the service is average right now. I tried the update today; the results were average. I have mixed feelings about the laptop; it depends on what you need. Overall, that was my experience.",neutral,en
بس للتوضيح: استخدمت المادة هالأسبوع. بس للتوضيح: استخدمت اللابتوب هالأسبوع. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
the update is neither great nor terrible for me. @brand 😶,neutral,en
"the customer support is neither great nor terrible for me. I tried the app today; the results were average. I tried the delivery today; the results were average. Overall, that was my experience. #update 🫤",neutral,en
the restaurant wasted my time and money.,negative,en
يعني بصراحة الفيلم سيّئ.,negative,ar_shami
"IMO the online store is awful.. the online store wasted my time and money. Overall, that was my experience. @support 🙄",negative,en
الخدمة المتعلقة بـ التحديث لم تكن بالمستوى المطلوب. المطعم غير جيد ويعاني من مشكلات واضحة. بشكل عام، هذا ملخص تجربتي.,negative,ar_fusha
هاد اللابتوب منيح كتير!,positive,ar_shami
أشعر بالرضا عن خدمة العملاء، وأنصح به.,positive,ar_fusha
أشعر بالرضا عن الحاسوب المحمول، وأنصح به. 😁,positive,ar_fusha
So happy with the laptop 😊,positive,en
للأسف الفندق مزعج 😤 https://t.co/xyz 💔,negative,ar_fusha
I have mixed feelings about the article; it depends on what you need.,neutral,en
"This is so terrible.. the customer support 😤 the movie is frustrating and poorly designed. Overall, that was my experience.",negative,en
هيك يعني الفندق بيمشي الحال.,neutral,ar_shami
"the hotel is awesome, smooth, and surprisingly reliable. 😍",positive,en
رأيي الشخصي: المقال سيئ حتى الآن. @الدعم 😡,negative,ar_fusha
التوصيل عادي، لا هو خارق ولا سيّئ. بس للتوضيح: استخدمت الخبر هالأسبوع. الابديت عادي، لا هو خارق ولا سيّئ. جربت المقال اليوم، الوضع متوسط. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
بصراحة الفندق ممتاز 😊 #تجربه_رائعه,positive,ar_fusha
لسا ما قررت شو رأيي بـ المنتج. #تحديث,neutral,ar_shami
الفيلم لم يقدم قيمة مقابل ما دُفع فيه. #لا_انصح 😡,negative,ar_fusha
لا أملك رأيًا حاسمًا حول التحديث حتى الآن. #ملاحظه @المتجر https://t.co/xyz,neutral,ar_fusha
شو هالحكي! الفيلم بخزي. شو هالحكي! المقال سيّئ. يعني بصراحة المادة بخزي. اللابتوب مو طبيعي قديش بخزي. بالنهاية، هيك كانت تجربتي.,negative,ar_shami
بصراحة، الاشتراك كان عادي. 🫤,neutral,ar_fusha
بصراحة، الخبر كان مفيد. أداء التطبيق قوي وثابت بشكل ملحوظ. أحببت الفيلم، وقد فاق توقعاتي. بصراحة التحديث ممتاز 😊 بشكل عام، هذا ملخص تجربتي. @الدعم ؟؟,positive,ar_fusha
"IMO the phone is okay.. No strong opinion on the product yet. Just sharing: I used the delivery this week. the app works as described, nothing more and nothing less. Overall, that was my experience.",neutral,en
صراحة ندمت على المتجر أونلاين. 😤,negative,ar_shami
عنجد المنتج مو منيح. عنجد تجربة الابديت بتقهر. شو هالحكي! الفيلم مقرف. بالنهاية، هيك كانت تجربتي. https://t.co/xyz 😠,negative,ar_shami
الفيلم مو منيح أبدًا وبيضيع الوقت.,negative,ar_shami
هاد المادة منيح كتير!,positive,ar_shami
the update wasted my time and money.,negative,en
Very impressed by the app; the quality is top-notch.,positive,en
شو هالحكي! الفندق بيرفكت. بزيادة انبسطت بـ المنتج 😊 المقال رائع بصراحة وبيستاهل. بالنهاية، هيك كانت تجربتي.,positive,ar_shami
تجربتي مع الخدمة كانت تمام، مبسوط.,positive,ar_shami
بس للتوضيح: استخدمت الخدمة هالأسبوع. @الشركة !!,neutral,ar_shami
عنجد الفيلم كتير حلو وريحني.,positive,ar_shami
لسا ما قررت شو رأيي بـ الخدمة. لسا ما قررت شو رأيي بـ الفيلم. الدعم عادي، لا هو خارق ولا سيّئ. بس للتوضيح: استخدمت الفندق هالأسبوع. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
بشكل عام المقال عادي ولا يختلف كثيرًا. ملاحظة: استخدمت المقرر الجامعي هذا الأسبوع. تجربتي مع المتجر الإلكتروني كانت متوازنة بلا انطباع قوي. تجربتي مع المقرر الجامعي كانت متوازنة بلا انطباع قوي. بشكل عام، هذا ملخص تجربتي.,neutral,ar_fusha
رأيي الشخصي: التطبيق عادي حتى الآن.,neutral,ar_fusha
تجربتي مع المطعم كانت تمام، مبسوط.,positive,ar_shami
تحديث سريع: الخدمة عادي. @الشركة 😶,neutral,ar_fusha
توقعاتي كانت أعلى، لكن التوصيل لم يلبِّها. تحديث سريع: الخبر مخيب. لم تعجبني تجربة الاشتراك، وكانت مخيبة للآمال. بصراحة، المطعم كان مزعج. بشكل عام، هذا ملخص تجربتي. #لا_انصح !!,negative,ar_fusha
"Overall, the news is okay. It meets the minimum requirements. the delivery is neither great nor terrible for me. Overall, that was my experience. 🫤",neutral,en
هلق جرّبت الخبر… كتير تمام.,positive,ar_shami
بس للتوضيح: استخدمت الدعم هالأسبوع. بس للتوضيح: استخدمت المطعم هالأسبوع. بس للتوضيح: استخدمت التوصيل هالأسبوع. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
جربت الابديت اليوم، الوضع متوسط. الابليكيشن عادي، لا هو خارق ولا سيّئ. هلق جرّبت الدعم… بيمشي الحال. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
أشعر بالرضا عن التحديث، وأنصح به. https://t.co/xyz !,positive,ar_fusha
"Honestly, great experience with the movie. Would recommend. 😁",positive,en
بصراحة، المنتج كان متوسط.,neutral,ar_fusha
بصراحة، الخبر كان مقبول. 🫤 !,neutral,ar_fusha
هاد الفندق منيح كتير! @المتجر 🔥,positive,ar_shami
This is exactly what I needed. the laptop is fantastic.,positive,en
رأيي الشخصي: التوصيل رائع حتى الآن. #انصح_به 🔥,positive,ar_fusha
بشكل عام الاشتراك عادي ولا يختلف كثيرًا. @الشركة,neutral,ar_fusha
"I dislike how the phone keeps breaking. I dislike how the service keeps breaking. I hate how the product keeps breaking. Hot take: the hotel is terrible. Overall, that was my experience. @support 😡",negative,en
the subscription wasted my time and money.,negative,en
"I love the movie. It just works. So happy with the news 😊 Just tried the online store. perfect experience. Overall, that was my experience. @support ؟؟",positive,en
تجربتي مع الدعم كانت تمام، مبسوط. #تجربه_رائعه ✨,positive,ar_shami
"IMO the article is terrible.. I regret trying the article; it was disappointing. I regret trying the article; it was disappointing. the restaurant is frustrating and poorly designed. Overall, that was my experience. 😠",negative,en
Hot take: the online store is okay. #fyi 🫤,neutral,en
بصراحة، المتجر الإلكتروني كان متوسط. جربت الحاسوب المحمول اليوم وكانت النتائج متوسطة. تجربتي مع الهاتف كانت متوازنة بلا انطباع قوي. بشكل عام، هذا ملخص تجربتي.,neutral,ar_fusha
تجربتي مع الفندق كانت رائعة ومريحة. @الشركة 🔥,positive,ar_fusha
الابليكيشن رائع بصراحة وبيستاهل.,positive,ar_shami
تحديث سريع: الفندق متميز.,positive,ar_fusha
بصراحة، خدمة العملاء كان سيئ. @الدعم,negative,ar_fusha
بشكل عام التحديث عادي ولا يختلف كثيرًا.,neutral,ar_fusha
I genuinely loved the service; it exceeded my expectations.,positive,en
رأيي الشخصي: الفيلم متوسط حتى الآن. رأيي الشخصي: المقال متوسط حتى الآن. الخبر يعمل بشكل مقبول وفقًا للوصف. لا أملك رأيًا حاسمًا حول التحديث حتى الآن. بشكل عام، هذا ملخص تجربتي.,neutral,ar_fusha
يعني بصراحة المنتج مو منيح. مو معقول قديش الخبر سيّئ. بالنهاية، هيك كانت تجربتي.,negative,ar_shami
تجربتي مع الفندق كانت تمام، مبسوط. عنجد الموبايل بزيادة حلو وريحني. كتير انبسطت بـ التوصيل 😊 بالنهاية، هيك كانت تجربتي.,positive,ar_shami
"So happy with the news 😊 the article is awesome, smooth, and surprisingly reliable. Overall, that was my experience. @brand 😊",positive,en
أعجبني الهاتف كثيرًا، وكان الأداء ممتازًا.,positive,ar_fusha
لسا ما قررت شو رأيي بـ الابليكيشن.,neutral,ar_shami
ملاحظة: استخدمت المقرر الجامعي هذا الأسبوع. @الدعم,neutral,ar_fusha
تجربتي مع المتجر الإلكتروني كانت رائعة ومريحة.,positive,ar_fusha
This is exactly what I needed. the restaurant is fantastic. 🔥,positive,en
رأيي الشخصي: التطبيق سيئ حتى الآن.,negative,ar_fusha
عنجد المنتج كتير حلو وريحني.,positive,ar_shami
هاد الموبايل منيح كتير!,positive,ar_shami
هلق جرّبت الابديت… بيرفكت.,positive,ar_shami
"Very impressed by the article; the quality is top-notch. I love the phone. It just works. Overall, that was my experience.",positive,en
بصراحة، الفيلم كان رائع. @المتجر https://t.co/xyz !!,positive,ar_fusha
the news wasted my time and money. #waste,negative,en
عنجد المنتج جدا حلو وريحني.,positive,ar_shami
التوصيل مو طبيعي قديش بخزي.,negative,ar_shami
يعني بصراحة الدعم بيمشي الحال. ...,neutral,ar_shami
أحببت الفيلم، وقد فاق توقعاتي.,positive,ar_fusha
"Just tried the hotel. annoying experience. tbh the service is terrible. Overall, that was my experience.",negative,en
Just tried the laptop. bad experience.,negative,en
بصراحة، الخدمة كان مخيب. بصراحة، الفندق كان سيئ. المقال سيئ ويعاني من مشكلات واضحة. رأيي الشخصي: المقرر الجامعي مخيب حتى الآن. بشكل عام، هذا ملخص تجربتي. !!,negative,ar_fusha
عنجد المتجر أونلاين كتير حلو وريحني. عنجد الابليكيشن كتير منيح. بحس الموبايل جميل وخلصت من وجعة الراس. عنجد الفيلم كتير حلو وريحني. بالنهاية، هيك كانت تجربتي. @الدعم,positive,ar_shami
صراحة ندمت على المنتج. 💔 !,negative,ar_shami
عنجد المنتج كتير حلو وريحني.,positive,ar_shami
Terrible experience with the article. Not worth it. 💔,negative,en
توقعاتي كانت أعلى، لكن التطبيق لم يلبِّها.,negative,ar_fusha
صراحة ندمت على الدعم. #سيئ 😤 !!!,negative,ar_shami
بصراحة، الحاسوب المحمول كان عادي. @الدعم,neutral,ar_fusha
بصراحة المتجر الإلكتروني ممتاز 😊 @المتجر 😊,positive,ar_fusha
المقرر الجامعي سيئ ويعاني من مشكلات واضحة.,negative,ar_fusha
الاشتراك رائع بصراحة وبيستاهل.,positive,ar_shami
مو معقول قديش الفيلم سيّئ. شو هالحكي! المقال بخزي. عنجد تجربة التوصيل بتقهر. بالنهاية، هيك كانت تجربتي. #لا_انصح @الدعم 😤,negative,ar_shami
I dislike how the product keeps breaking.,negative,en
تجربتي مع المتجر الإلكتروني كانت متوازنة بلا انطباع قوي. جربت المنتج اليوم وكانت النتائج متوسطة. بشكل عام المنتج عادي ولا يختلف كثيرًا. بشكل عام، هذا ملخص تجربتي.,neutral,ar_fusha
"I regret trying the restaurant; it was disappointing. Terrible experience with the online store. Not worth it. Overall, that was my experience.",negative,en
عنجد الابديت كتير حلو وريحني.,positive,ar_shami
لا أحب المتجر الإلكتروني بسبب كثرة المشكلات. 😠,negative,ar_fusha
هلق جرّبت الفيلم… سيّئ. #تجربه_سيئه @الشركة,negative,ar_shami
المتجر الإلكتروني لم يقدم قيمة مقابل ما دُفع فيه.,negative,ar_fusha
جربت الخدمة اليوم، الوضع متوسط. @الدعم,neutral,ar_shami
Very impressed by the subscription; the quality is top-notch.,positive,en
بزيادة انبسطت بـ الدعم 😊 @المتجر !,positive,ar_shami
"Hot take: the movie is terrible. This is so bad.. the online store 😤 Overall, that was my experience.",negative,en
the restaurant is neither great nor terrible for me. #fyi https://t.co/xyz,neutral,en
Just tried the delivery. overhyped experience.,negative,en
جربت الموبايل اليوم، الوضع متوسط.,neutral,ar_shami
تحديث سريع: التطبيق عادي. https://t.co/xyz 😶,neutral,ar_fusha
"Overall, the hotel is okay. It meets the minimum requirements.",neutral,en
بصراحة، المقرر الجامعي كان متوسط.,neutral,ar_fusha
الخدمة المتعلقة بـ المقال لم تكن بالمستوى المطلوب. رأيي الشخصي: الفندق سيئ حتى الآن. تحديث سريع: المنتج مخيب. بشكل عام، هذا ملخص تجربتي.,negative,ar_fusha
بصراحة، المتجر الإلكتروني كان غير جيد.,negative,ar_fusha
So happy with the update 😊 @company 🔥,positive,en
الفيلم لم يقدم قيمة مقابل ما دُفع فيه. @الدعم,negative,ar_fusha
"I expected better, but the online store failed in basic ways.",negative,en
تجربتي مع الابديت كانت تمام، مبسوط. !!!,positive,ar_shami
"Just sharing: I used the delivery this week. Overall, the service is okay. It meets the minimum requirements. Hot take: the customer support is average. Overall, that was my experience. @support https://t.co/xyz 🫤",neutral,en
يعني بصراحة المنتج بيمشي الحال. @المتجر 😐,neutral,ar_shami
I genuinely loved the delivery; it exceeded my expectations. https://t.co/xyz ...,positive,en
لا أملك رأيًا حاسمًا حول الفيلم حتى الآن.,neutral,ar_fusha
تجربتي مع الخبر كانت متوازنة بلا انطباع قوي. رأيي الشخصي: الفندق متوسط حتى الآن. بشكل عام، هذا ملخص تجربتي.,neutral,ar_fusha
"Just tried the delivery. awful experience. I hate how the product keeps breaking. Overall, that was my experience.",negative,en
تحديث سريع: التحديث غير جيد. 😞,negative,ar_fusha
الخبر عادي، لا هو خارق ولا سيّئ. هلق جرّبت الفندق… بيمشي الحال. بس للتوضيح: استخدمت الدعم هالأسبوع. الدعم عادي، لا هو خارق ولا سيّئ. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
the subscription wasted my time and money.,negative,en
"I expected better, but the laptop failed in basic ways.",negative,en
صراحة ندمت على التوصيل. 😠,negative,ar_shami
الابليكيشن مؤذي ومش عملي 😤 عنجد اللابتوب مو منيح. مو معقول قديش الفندق سيّئ. يعني بصراحة الابديت سيّئ. بالنهاية، هيك كانت تجربتي. !,negative,ar_shami
No strong opinion on the customer support yet. @company,neutral,en
أداء خدمة العملاء قوي وثابت بشكل ملحوظ.,positive,ar_fusha
أشعر بالرضا عن الخدمة، وأنصح به. بصراحة الفندق ممتاز 😊 بشكل عام، هذا ملخص تجربتي. !!,positive,ar_fusha
"IMO the restaurant is okay.. Just sharing: I used the product this week. the university course is neither great nor terrible for me. Overall, that was my experience. 🤷",neutral,en
بصراحة، المقال كان متميز. #تجربه_رائعه,positive,ar_fusha
يعني بصراحة المقال نص نص. عنجد الابديت عادي. هلق جرّبت الابليكيشن… بيمشي الحال. بس للتوضيح: استخدمت الخدمة هالأسبوع. بالنهاية، هيك كانت تجربتي. https://t.co/xyz 😶,neutral,ar_shami
شو هالحكي! المادة نص نص. جربت المادة اليوم، الوضع متوسط. الابليكيشن عادي، لا هو خارق ولا سيّئ. يعني بصراحة الابليكيشن نص نص. بالنهاية، هيك كانت تجربتي.,neutral,ar_shami
هلق جرّبت المطعم… بخزي. !!!,negative,ar_shami
"No strong opinion on the restaurant yet. ngl, the service is decent right now. I have mixed feelings about the subscription; it depends on what you need. Overall, the subscription is okay. It meets the minimum requirements. Overall, that was my experience. #thoughts 😐",neutral,en
"the laptop works as described, nothing more and nothing less.",neutral,en
المطعم رديء ويعاني من مشكلات واضحة.,negative,ar_fusha
"ngl, the university course is terrible right now.",negative,en
شو هالحكي! المقال حلو. بحس الخبر جميل وخلصت من وجعة الراس. هلق جرّبت الدعم… كتير منيح. بالنهاية، هيك كانت تجربتي. #تجربه_رائعه,positive,ar_shami
بصراحة المتجر الإلكتروني ممتاز 😊,positive,ar_fusha
IMO the phone is solid.. #10of10,positive,en
Hot take: the subscription is awful.,negative,en
"I have mixed feelings about the product; it depends on what you need. the laptop works as described, nothing more and nothing less. Overall, that was my experience.",neutral,en
أشعر بالرضا عن الهاتف، وأنصح به. بصراحة، الفيلم كان متميز. أعجبني الخدمة كثيرًا، وكان الأداء ممتازًا. أداء التوصيل قوي وثابت بشكل ملحوظ. بشكل عام، هذا ملخص تجربتي. @الشركة,positive,ar_fusha
تحديث سريع: التحديث متميز. تحديث سريع: المقرر الجامعي متميز. تجربتي مع خدمة العملاء كانت رائعة ومريحة. بشكل عام، هذا ملخص تجربتي. @الدعم,positive,ar_fusha
جربت المنتج اليوم، الوضع متوسط. #تحديث @الدعم,neutral,ar_shami
"the product is neither great nor terrible for me. Hot take: the update is mixed. I have mixed feelings about the article; it depends on what you need. Overall, that was my experience.",neutral,en
رأيي الشخصي: التوصيل مفيد حتى الآن. @الدعم 😍,positive,ar_fusha
توقعاتي كانت أعلى، لكن الفيلم لم يلبِّها.,negative,ar_fusha
بصراحة، الهاتف كان غير جيد. الخدمة المتعلقة بـ الفندق لم تكن بالمستوى المطلوب. بشكل عام، هذا ملخص تجربتي. #تجربه_سيئه,negative,ar_fusha
لا أملك رأيًا حاسمًا حول خدمة العملاء حتى الآن. #ملاحظه https://t.co/xyz,neutral,ar_fusha
"ngl, the service is solid right now. 😁",positive,en
"Terrible experience with the product. Not worth it. Hot take: the article is bad. Overall, that was my experience. 💔",negative,en
"tbh the phone is fine. I have mixed feelings about the service; it depends on what you need. Overall, that was my experience.",neutral,en
عنجد الابليكيشن بيمشي الحال.,neutral,ar_shami
"ngl, the product is great right now. #loveit https://t.co/xyz 🔥",positive,en
تجربتي مع الاشتراك كانت رائعة ومريحة.,positive,ar_fusha
جربت الخبر اليوم وكانت النتائج متوسطة. 🤷,neutral,ar_fusha
